,Date,Invoice Type,Buyer,Saller,Products,Total_amount
163,30-Jan-23,Sales,Null,"B M Infotrade Private Limited
","1 |HP CZ130A Ink Cartridge (711 Cyan) 84439959 18% 2 no. 1,667.00 | no. 3,334.00

2 |HP CZ131A Ink Cartridge (711 Magenta) 84439959 18% 2 no. 1,667.00 | no. 3,334.00

3 |HP CZ132A (711 Yellow) Ink Cartridge 84439959 18 % 2 no. 1,667.00 | no. 3,334.00

4 |HP 3WX01A (711 Black) Ink Cartridge 84439952 18 % 2 no. 3,090.00 | no. 6,180.00

0 |_ _ 9% 556.20 9%| 556.20 | 4,112.40 |","19,095.00"
164,13-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

60 Dispatched through Destination

42 ore or oaeing

1 |HP W1112A Toner Cartridge 84439959 18% 6no.| 3,561.00 | no. 21,366.00

2 |HP CF277A Toner Cartridge 84439959 18% 4no. 6,726.00 | no. 26,904.00

0 | __ 8,688.60 |","56,959.00"
165,27-Jan-23,Sales,Null,B M Infotrade Private Limited ,"01 Dispatched through Destination

1 |VMWARE VSPHERE 6 ESSENTIALS PLUS 998314 18% 1 no.| 89,890.00 | no. 89,890.00

2 PROCESSORS PER HOST

0 | _ 16,180.20 |","1,06,070.20"
166,2-Feb-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

76 myer oro ity

1 |HP Pro Book 440G8 Core i5-1135G7/14"" HD 84713010 18% 1no.| 54,000.00 | no. 54,000.00

2 |Business Evon Essential series Black 142029200 18% 1 no.

3 |Office Home & Business 2021 85238020 18% 1 no.| 15,100.00 | no. 15,100.00

67 Marine Open Policy","81,538.00"
167,12-Apr-23,Purchase,BEENA GtiB Manfotrade Private Limited,Manfotrade Private Limited,"1 |HP Laser Jet MFP 4104DW Printer (2Z632A) 84433100 18% 1 no.| 34,750.00 | no. 34,750.00

CGST Output 3,127.50

0 |","6,255.00"
168,8-Apr-23,Sales,Oji India Packaging Pvt. Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |ARUBA Wireless Access Point IAP 505 85176290 18% 2no.| 30,440.00 | no. 60,880.00

2 |Mounting Kit 83025000 18% 2no.

27 Delivery Note Mode","71,838.00"
169,24-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

4 |Exchange Online Plan 1 998315 18% 16 no. 2,918.00 | no. 46,688.00

2 |MS 365 Business Premium 1998315 18% 2no.| 16,027.00 | no. 32,054.00

3 |Microsoft 365 Business Standard (AAA-10647) 998315 18% 2no. 6,716.00 | no. 13,432.00

4 |Microsoft 365 Business Standard (AAA-10647) 1998315 18% 18 no. 6,716.00 | no. 1,20,888.00

5 |Exchange Online Kiosk 1998315 18% 37 no. 1,436.00 | no. 53,132.00

6 |Office 365 License (Basic) 1998315 18% 10 no. 1,250.00 | no. 12,500.00

7 |Office 365 E3 (AAA-06227) 1998315 18% 2no.| 26,171.00 | no. 52,342.00

27 Delivery Note Mode

06 Terms of Delivery","3,90,622.48"
170,19-Jan-23,Sales,Null,B M Infotrade Private Limited ,"02 Dispatched through Destination

1 |Manpower Resorce Support 998314 18% 1 no. |1,75,000.00 | no. 1,75,000.00

0 |__18%/ 31,500.00 | __ 31,500.00 |","2,06,500.00"
171,19-Jan-23,Sales,Null,B M Infotrade Private Limited ,"02 Dispatched through Destination

1 |Manpower Resorce Support 998314 18% 1no.| 40,833.33 | no. 40,833.33

0 |",3
172,15-Apr-23,Sales,QDEGREES SERVICES PVT LTD,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 )Azure -Consumption Charges 998319 18% 1 nos. 19,643.11 | nos. 19,643.11

1 March to 31","23,179.00"
173,31-Dec-22,Sales,Null,"B M Infotrade Private Limited
","4 |HP W1370X Toner Cartridge 84439959 | 18% 4no.| 4,666.00 | no. 18,664.00

6 |

6 | 3,359.52",2
174,27-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

77 Dispatched through Destination

1 |HP CC388XC Toner Cartridge 84439959 18% 3 no. 4,020.00 no. 12,060.00

0 |","14,231.00"
175,31-Dec-22,Sales,Null,"B M Infotrade Private Limited
","41 HP CNO53AA Ink

2 | 18% 1 no.| 2,600.00 | no. 2,600.00

2 |HP CNO54AA Ink Cartridge ( 84439952 | 18% 1 no.| 1,219.00 | no. 1,219.00

3 |HP CNO5S5AA Ink Cartridge ( 84439952 | 18% 1 no.| 1,219.00 | no. 1,219.00

2 | 18% 1no.| 1,219.00 | no. 1,219.00

3 | 1,126.26","7,383.00"
176,27-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF210A Toner Cartridge 84439959 18% 2 no. 4,798.00 | no. 9,596.00

8 |","11,323.00"
177,30-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF210A Toner Cartridge 84439959 18% 1 no. 4,798.00 | no. 4,798.00

2 |HP CF211A Toner Cartridge 84439959 18% 1 no. 6,011.00 | no. 6,011.00

2 |","12,755.00"
178,31-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF212A Toner Cartridge 84439959 18% 1 no. 6,011.00 | no. 6,011.00

2 |HP CF213A Toner Cartridge 84439959 18% 1 no. 6,011.00 | no. 6,011.00","14,186.00"
179,6-Jan-23,Sales,SAMISHTI INFOTECH PRIVATE LIMITED,"B M Infotrade Private Limited
","2 Terms of Delivery

1 |Office 365 License (Basic) 997331 18 % 5 no. 501.08} no. 2,505.40

2 Terms of Delivery","2,956.37"
180,28-Jan-23,Sales,SAMISHTI INFOTECH PRIVATE LIMITED,"B M Infotrade Private Limited
","2 Terms of Delivery

1 |Office 365 License (Basic) 997331 18% 5 no. 435.73 | no. 2,178.65

94 ON PAYMENT FOR

2 Terms of Delivery

6 |","2,570.81"
181,21-Apr-23,Sales,SAMISHTI INFOTECH PRIVATE LIMITED,B M Infotrade Private Limited ,"27 Delivery Note Mode

20 Dispatched through Destination

1 | Office 365 License (Basic) 997331 18% 5 no. 171.18] no. 855.90

27 Delivery Note Mode

20 Dispatched through Destination

6 |","1,010.00"
182,25-Apr-23,Sales,SAMISHTI INFOTECH PRIVATE LIMITED,B M Infotrade Private Limited ,"27 Delivery Note Mode

20 Dispatched through Destination

1 |Office 365 License (Basic) 998315 18% 5no.| 1,264.00 | no. 6,320.00

0 | __1,137.60 |","7,458.00"
183,2-Jan-23,Sales,Null,"B M Infotrade Private Limited
","1 |JHP 1VV21AA (GT53XL) Black Cartridge 32151990 18% 1 no. 451.00 | no. 451.00

2 |HP MOH54AA (GT52) Cyan Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

3 |HP MOH55AA (GT52)Magenta Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

4 |HP MOHS6AA (GT52) Yellow Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

08 Terms of Delivery","2,227.84"
184,9-Jan-23,Purchase,B M Infotrade Private Limited,trade Private Limited,"1 |JHP 1VV21AA (GT53XL) Black Cartridge 84439959 18% 1 no. 451.00 | no. 451.00

2 |HP MOH54AA (GT52) Cyan Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

3 |HP MOH55AA (GT52)Magenta Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

4 |HP MOHS6AA (GT52) Yellow Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

CGST Output 169.92",339.84
185,10-Jan-23,Sales,Null,"B M Infotrade Private Limited
","1 |HP 3JA83AA 965XL Yellow Ink Cartridge 84439952 18% 1 no. 2,178.00 | no. 2,178.00

2 |HP 3JA81AA 965XL Cyan Ink Cartridge 84439952 18% 1 no. 2,178.00 | no. 2,178.00

3 |HP 3JA82AA 965XL Magenta Ink Cartridge 84439952 18% 1 no. 2,178.00 | no. 2,178.00

67 Marine Open Policy

08 Terms of Delivery","7,710.00"
186,1-Feb-23,Sales,Null,"B M Infotrade Private Limited
","0 | no. 479.00

2 |HP MOHS5AA (GT52)Magenta Ink Bottle 32151990 18% 1 no. 479.00 | no. 479.00

3 |HP MOH56AA (GT52) Yellow Ink Bottle 32151990 18 % 1 no. 479.00 | no. 479.00

0 | 9% 129.33 9% 129.33 258.66 |","1,695.66"
187,21-Apr-23,Purchase,B M Infotrade Private Limited,Infotrade Private Limited,"1 |HP 3JA81AA 965XL Cyan Ink Cartridge 84439952 18% 2 no. 2,178.00 | no. 4,356.00

CGST Output 392.04

8 |",784.08
188,25-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF277A Toner Cartridge 84439959 18% 1 no. 6,726.00 | no. 6,726.00

8 |","7,937.00"
189,3-Mar-23,Purchase,B M Infotrade Private Limited,Infotrade Private Limited,"7 | 3-Mar-23

1 |

1 |HP Pro Tower 280 G9/ i5 12500/8GB/256SSD/1TB

2 |HP 21.5 IPS FHD VGA DP HDMI TILT (1A7E4A7)

3 | Quick Heal Internet Security

4 | Quick Heal Internet Security Renewal

CGST Output

7 | 3-Mar-23

5 | 1,76,215.50","1,76,215.50"
190,4-Mar-23,Sales,Null,B M Infotrade Private Limited ,"3 | 4-Mar-23

27 Delivery Note Mode

08 Terms of Delivery

1 |HP Pro Tower 280 G9/ i5 12500/8GB/256SSD/1TB 84715000 | 18 % 20 no.| 63,800.00] no.| 12,76,000.00

11 P DW W10P

2 |HP 21.5 IPS FHD VGA DP HDMI TILT (1A7E4A7) 85285200 | 18% 20 no.

3 | Quick Heal Internet Security 85238020 | 18% 20 no.| 1,465.00} no. 29,300.00

10 Key no H21

10 key no H21

4 | Quick Heal Internet Security Renewal 85238020 | 18% 20 no.

3 | 4-Mar-23

27 Delivery Note Mode

08 Terms of Delivery

5 Description of Goods

0 | 2,29,680.00

0 | 2,34,954.00",0
191,4-Mar-23,Sales,Null,"B M Infotrade Private Limited
","2 |4-Mar-23

4 |HP Pro Tower 280 G9/ i5 12500/8GB/256SSD/1TB 84715000 | 18% 4 no.| 63,800.00} no. 63,800.00

11 P DW W10P

2 |HP 21.5 IPS FHD VGA DP HDMI! TILT (1A7E4A7) 85285200 | 18% 41 no.

3 | Quick Heal Internet Security 85238020 | 18% 4 no.| 1,465.00] no. 1,465.00

4 | Quick Heal Internet Security Renewal 85238020 | 18 % 4 no.","77,012.70"
192,4-Mar-23,Purchase,B M Infotrade Private Limited,Infotrade Private Limited,"1 |HP Pro Tower 280 G9/ i5 12500/8GB/256SSD/1TB

2 |HP 21.5 IPS FHD VGA DP HDMI TILT (1A7E4A7)

3 | Quick Heal Internet Security

4 | Quick Heal Internet Security Renewal

CGST Output

7 |4-Mar-23

0 | 1,64,467.80","1,64,467.80"
193,17-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

21 TO 432 

21 TO 432 

08 Terms of Delivery

1 |HP Laptop 240 G8/i3-111 5G4/8GB 84713010 18 % 2 no. 40,715.00 | no. 81,430.00

27 Delivery Note Mode

21 TO 432 

21 TO 432 

08 Terms of Delivery

0 |__— 9% 7,328.70 9% 7,328.70 14,657.40 |","96,087.40"
194,18-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |HP LASERJET PRO MFP M128FW (CZ186A) 84433100 18% 3.no.| 21,675.00 | no. 65,025.00

0 |

77 KM Valid Upto

00 HP LASERJET PRO","76,729.50"
195,30-Mar-23,Sales,KRSNA URJA PROJECT PRIVATE LIMITED,B M Infotrade Private Limited ,"27 Delivery Note Mode

01 Dispatched through Destination

1 |HP Pro Twr 280 G9 PCI i312100 4GB 84715000 18% 1no.| 34,000.00 | no. 34,000.00

2 |HP Monitor 19.5 (SRD66AA) 85285200 18% 1 no.

3 |Win Pro 11 64 Bit OEM 85238020 18% 1 no. 10,200.00 no. 10,200.00

0 | __— 9% 918.00| 9% 918.00 1,836.00 _|","52,156.00"
196,29-Apr-23,Purchase,GUBT Riot ade Private Limited,ade Private Limited,"1 |GOOGLE WORKSPACE BUSINESS 998319 18% 5 no. 8,500.00 | no. 42,500.00

2 |GOOGLE WORKSPACE BUISNESS 998319 18% 100 no. 2,200.00 no. 2,20,000.00","47,250.00"
197,19-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

00 Dispatched through Destination

08 Terms of Delivery

1 |HP Toner Black Cartridge W1470A 84439959 18% 1 no. 13,404.00 | no. 13,404.00","15,816.72"
198,10-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

0 Dispatched through Destination

08 erms of Delivery

1 |HP CC388XC Toner Cartridge 84439959 18% 6 no. 3,082.00 | no. 18,492.00

6 |","21,821.00"
199,4-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

29 HylPort of Loading

7 Terms of Delivery

4 |HP (18.5?) LED Monitor 85285200 18% 5 no. 6,400.00 | no. 32,000.00

2 |Keyboard Dell USB 84716040 18 % 10 no. 460.00 | no. 4,600.00

16 3 YEAR WARRANTY

3 |Dell USB Mouse 84716060 18% 10 no. 290.00 | no. 2,900.00

67 Marine Open Policy","49,088.00"
200,5-Jan-23,Sales,Null,"B M Infotrade Private Limited
","4 |HP (18.5?) LED Monitor 85285200 18% 5 no. 6,400.00 | no. 32,000.00

29 HYIP ort of","39,459.20"
201,5-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

29 HylPort of Loading

7 Terms of Delivery

1 Dlink Patch Cord","13,452.00"
202,24-Jan-23,Purchase,Name : Delhivery Ltd,Infotrade Private Limited,"0 | no. 12,600.00

2 |DLink CAT-6 305 Mtr Cable 85444999 18% 6 no. 6,750.00 | no. 40,500.00

3 |RJ 45 Connector 85366990 18% 2 no. 450.00 | no. 900.00

0 |","73,089.20"
203,24-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP (18.5?) LED Monitor 85285200 18% 3 no. 6,400.00 | no. 19,200.00

2 |Keyboard Dell USB 84716040 18% 4no. 460.00 | no. 1,840.00

3 |Dell USB Mouse 84716060 18% 5 no. 290.00 | no. 1,450.00

79 71131364 1665 24

0 |","28,544.20"
204,27-Dec-22,Sales,Goyal Fashion Pvt Ltd,"B M Infotrade Private Limited
","1 |HP Notebook 15s-DU3614TU (6N041PA) 84713010 | 18% 1 no. |36,313.55 | no. 36,313.55

2 |HP Slim S01-pF2567in PC/ i3 84715000 | 18% 2 no. |36,398.30 | no. 72,796.60

3 |HP Laserjet Pro P1108 Printer 84433240 | 18% 1 no. | 10,974.57 | no. 10,974.57

4 |Office Home & Business 2021 85238020 | 18% 1 no. | 14,700.00 | no. 14,700.00

5 |Back Pack of Laptop 42029200 | 18% 1 no.

6 |HP (19.5?) LED Monitor 85285200 | 18% 2 no.

7 |27-Dec-22

9 | 13,103.38

2 | 24,261.24

10 HP Notebook 15s

00 HP Slim S01

40 HP Laserjet Pro

20 Office Home 

00 Back Pack of

72 Other Amt 0

04 Total Inv Amt","1,59,046.00"
205,4-Jan-23,Sales,The Indian Hotels Company Ltd,"B M Infotrade Private Limited
","08 Terms of Delivery

1 |HP CE323A Toner Cartridge 84439959 18% 2no. 3,757.00 | no. 7,514.00

2 |HP CE322A Toner Cartridge 84439959 18% 2no. 3,757.00 | no. 7,514.00

67 Marine Open Policy

7 Dispatched through Destination

08 Terms of Delivery","17,733.00"
206,15-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

81 y 9 v

1 |HP CC388AC Toner Cartridge 84439959 18% 1 no. 3,036.00 | no. 3,036.00

8 |","3,582.00"
207,24-Jan-23,Sales,Uniparts India Ltd,B M Infotrade Private Limited ,"0 Dispatched through Destination

0 Terms of Delivery

1 |IBM Sterling B2B Services Collaboration 998315 18%| 4,000 no. 21.94] no. 87,760.00

22 to 19 April

23 for three months

0 | 15,796.80 |","1,03,556.80"
208,27-Apr-23,Sales,Uniparts India Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

0 Dispatched through Destination

0 Terms of Delivery

1 |IBM Sterling B2B Services Collaboration 998315 18%| 4,000 no. 21.94] no. 87,760.00

23 for three months

0 | 15,796.80 |","1,03,556.80"
209,4-Jan-23,Sales,Null,"B M Infotrade Private Limited
","1 |Oracle Database Enterprise Edition 997331 18% 15 no. |12,22,355.15 | no. |1,83,35,327.25

2 |Oracle Database Enterprise Edition - 997331 18% 15 no. /2,68,918.13 | no.) 40,33,771.95

3 JORACLE REAL APPLICATION

3 | no.| 59,18,772.30

4 |Oracle Real Application Clusters - 997331 18% 10 no. /1,30,212.99 | no.) 13,02,129.90

6 M Maen tory

5 |53,26,200.25

5 |53,26,200.25","3,49,16,201.65"
210,14-Nov-22,Purchase,B M Infotrade Private Limited,Infotrade Private Limited,"1 |HP Color Laser Jet Managed MFP. 84433100 18% 1 no. |2,09,000.00 | no. 2,09,000.00","37,620.00"
211,5-Jan-23,Sales,Wheel (India) Pvt. Ltd,"B M Infotrade Private Limited
","1 |HP Color Laser Jet Managed MFP 84433100 18% 1 no. | 2,09,000.00 | no. 2,09,000.00

3 years HP Warranty

35 7343 0943 6828

67 Marine Open Policy","2,46,620.00"
212,16.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION
HPSPPK6610 W2110A-TONER | 84439959 1,000 4,006.00 721.08 4,006.00 1,000
LJM255 283 HP206A BLACK EA 18.00 4,727.08
CRT
W2110A","16,140.04"
