,Date,Invoice Type,Buyer,Saller,Products,Total_amount
104,24.01.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"6X3W4PA#ACJ HP/DESKTOP/ CI3 12100 4GB 1TB DOS 84715000 3 26,353.00 79,059.00 79,059.00 |CGST |] 9.00 7,115.31

S5RD6E6AA#ACJ HP/MONITOR/ 19.5 P204V VGA HDMI TCO 85285200 3 6,800.00 20,400.00 20,400.00 |CGST | 9.00 1,836.00","117,362.00"
105,21.12.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"356D6AA#ACJ HP/CONSUMER MONITORS/ M27FWA 27 IPS 85285200 1 14,200.00 14,200.00 14,200.00 |CGST | 9.00 1,278.00","16,756.00"
106,30.03.2023,Purchase,Indusind Bank Ltd,Rashi Peripherals Limited,"21E3S06D00 LENOVO/NOTEBOOK/ 13 1215U 8GB 512SSD 84713010 1 46,700.00 46,700.00 46,700.00 |CGST | 9.00 4,203.00

4X40Y71789 LENOVO/NOTE BOOK CARRY CASE/ BASIC 42021290 1 800.00 800.00 800.00 |CGST | 9.00 72.00","56,050.00"
107,30.03.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"21E3S06D00 LENOVO/NOTEBOOK/ 13 1215U 8GB 512SSD 84713010 1 46,700.00 46,700.00 46,700.00 |CGST | 9.00 4,203.00

0 |cGST |] 9.00 72.00","56,050.00"
108,30.03.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"21E3S06D00 LENOVO/NOTEBOOK/ 13 1215U 8GB 512SSD 84713010 1 46,700.00 46,700.00 46,700.00 |CGST | 9.00 4,203.00

0 |cGST |] 9.00 72.00","56,050.00"
109,10.09.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"13L76AA HP/RAM/ 8GB DDR4-3200 UDIMM 84733030 10 3,800.00 38,000.00 38,000.00 |CGST | 9.00 3,420.00","44,840.00"
110,29.04.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2P7U6P3 HP/NOTE BOOK CARRY CASE/ EVON 42029200 1 699.00 699.00 699.00 |CGST | 9.00 62.91

7M659PA#ACJ HP/NOTEBOOK/ Cl3 1215U 8GB 512GBSSD 84713010 1 25,370.00 25,370.00 25,370.00 |CGST | 9.00 2,283.30","30,761.00"
111,30.05.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"21E3SOEE00 LENOVO/NOTEBOOK/ 13 1215U 8GB 512SSD 84713010 2 45,200.00 90,400.00 90,400.00 |CGST] 9.00 8,136.00

4X40Y71789 LENOVO/NOTE BOOK CARRY CASE/ BASIC 42021290 2 800.00 1,600.00 1,600.00 |CGST | 9.00 144.00","108,560.00"
112,06.06.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"21E3S02900 LENOVO/NOTEBOOK/ |5 1235U 8+ 8GB 84713010 4 67,200.00 268,800.00 268,800.00 |CGST | 9.00 24,192.00

4X40Y71789 LENOVO/NOTE BOOK CARRY CASE/ BASIC 42021290 4 800.00 3,200.00 3,200.00 |CGST | 9.00 288.00

11SESOAU00WOM |LENOVO/DESKTOP? I5 12400 8GB 512SSD 84713010 1 46,500.00 46,500.00 46,500.00 |CGST | 9.00 4,185.00

62F7KAR4WW LENOVO/MONITORY E20-30 19.5 WITH HDMI 85285200 1 6,000.00 6,000.00 6,000.00 |CGST | 9.00 540.00","382,910.00"
113,18.07.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"1ATE4AT#HACJ HP/MONITOR/ P22 G4 21.5 IPS FHD VGA DP 85285200 1 9,000.00 9,000.00 9,000.00 |CGST] 9.00 810.00","10,620.00"
